,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,かんばん数,実績LT/設計値LT,順立装置在庫量/設計値MIN,不等ピッチ,順立装置在庫量/設計値MAX
66,34989ECE020    ,2023,38,2.066666666666667,0.016666666666666666,0.016666666666666666,0.82,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,5.9,0.47,（株）槌屋,1,7.195121951219513,13.204694055757885,0.0,0.15087146949841657
67,34989ECE030    ,2023,36,2.2083333333333335,0.008333333333333333,0.008333333333333333,0.8,3.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,23.630000000000003,0.252,（株）槌屋,1,29.5375,26.31599853822076,0.0,0.0830806473435099
68,35141ECB010    ,2023,39,11.870967741935484,0.9032258064516129,0.8709677419354839,0.62,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,16.0,10.518867924528301,0.6970754716981132,22.3873820754717,（株）アイシン福井,106,1.1243152769324407,6.153802032327578,,1.4466242410880177
69,35141ECE010    ,2023,39,23.580645161290324,0.6774193548387096,0.8709677419354839,0.63,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,20.0,10.414893617021276,1.0726595744680851,21.935106382978724,（株）アイシン福井,94,1.7026342451874368,12.476036750547108,,1.627738263593429
70,35145ECB010    ,2023,36,6.35,0.15,0.15833333333333333,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100.0,1.0,2.730555555555555,3.606666666666667,三共鋼業（株）,18,4.404121863799283,6.425651335051336,0.0,0.6217778118210945
71,35145ECB010    ,2023,37,6.808333333333334,0.175,0.14166666666666666,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100.0,1.0,3.0666666666666664,3.4177777777777774,三共鋼業（株）,21,4.946236559139785,7.270201133332701,0.0,0.6269837204698018
72,35145ECB010    ,2023,38,6.766666666666667,0.16666666666666666,0.16666666666666666,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100.0,1.0,3.1555,3.4455,三共鋼業（株）,20,5.089516129032258,7.167570380774528,0.0,0.627394527274817
73,35145ECB010    ,2023,39,6.983333333333333,0.16666666666666666,0.15,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100.0,1.0,1.9784615384615383,3.3023076923076924,三共鋼業（株）,13,3.19106699751861,7.717820499959476,0.0,0.6243344890375344
74,35145ECE010    ,2023,36,7.066666666666666,0.2,0.19166666666666668,0.65,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100.0,1.0,2.6354166666666665,4.801666666666667,三共鋼業（株）,24,4.054487179487179,5.371208800674947,0.0,0.6786415659503636
75,35145ECE010    ,2023,37,6.691666666666666,0.21666666666666667,0.19166666666666668,0.65,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100.0,1.0,2.6028571428571428,4.745238095238095,三共鋼業（株）,26,4.004395604395604,5.146662955380327,0.0,0.660633726216463
