シリアル,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,かんばん数,実績LT/設計値LT,順立装置在庫量/設計値MIN,不等ピッチ,順立装置在庫量/設計値MAX,AVAILABLE_RATE,KAKO_CNT,先週からの順立装置在庫量の増加率,先週からの社内LTの増加率,先週からかんばん増加数,使用工程
322,34989ECE020    ,2023,38,2.066666667,0.016666667,0.016666667,0.82,1,ＴＰ１３１フタナシ,1,1,2.33,500,1,5.9,0.47,（株）槌屋,1,7.195121951,13.20469406,0,0.150871469,94.16,430.5,0.203883495,-0.36717912,-0.666666667,7.ファイナル前半
18,34989ECE030    ,2023,36,2.208333333,0.008333333,0.008333333,0.8,3,ＴＰ１３１フタナシ,1,1,2.33,500,1,23.63,0.252,（株）槌屋,1,29.5375,26.31599854,0,0.083080647,95.285,469.4,0,0,0,
464,35141ECB010    ,2023,39,11.87096774,0.903225806,0.870967742,0.62,3,Aﾊﾟﾚﾌﾀﾅｼ,1,24,19.68,16,10.51886792,0.697075472,22.38738208,（株）アイシン福井,106,1.124315277,6.153802032,,1.446624241,98.06,454.5,0,0,0,
465,35141ECE010    ,2023,39,23.58064516,0.677419355,0.870967742,0.63,3,Aﾊﾟﾚﾌﾀﾅｼ,1,24,19.68,20,10.41489362,1.072659574,21.93510638,（株）アイシン福井,94,1.702634245,12.47603675,,1.627738264,98.06,454.5,0,0,0,
19,35145ECB010    ,2023,36,6.35,0.15,0.158333333,0.62,3,ＴＰ１３１フタナシ,1,1,1.74,100,1,2.730555556,3.606666667,三共鋼業（株）,18,4.404121864,6.425651335,0,0.621777812,95.285,469.4,0,0,0,2.MGケース
169,35145ECB010    ,2023,37,6.808333333,0.175,0.141666667,0.62,3,ＴＰ１３１フタナシ,1,1,1.74,100,1,3.066666667,3.417777778,三共鋼業（株）,21,4.946236559,7.270201133,0,0.62698372,90.551,445.7,0.072178478,0.123092574,0.166666667,2.MGケース
323,35145ECB010    ,2023,38,6.766666667,0.166666667,0.166666667,0.62,3,ＴＰ１３１フタナシ,1,1,1.74,100,1,3.1555,3.4455,三共鋼業（株）,20,5.089516129,7.167570381,0,0.627394527,94.16,430.5,-0.006119951,0.028967391,-0.047619048,2.MGケース
466,35145ECB010    ,2023,39,6.983333333,0.166666667,0.15,0.62,3,ＴＰ１３１フタナシ,1,1,1.74,100,1,1.978461538,3.302307692,三共鋼業（株）,13,3.191066998,7.7178205,0,0.624334489,98.06,454.5,0.032019704,-0.373011713,-0.35,2.MGケース
20,35145ECE010    ,2023,36,7.066666667,0.2,0.191666667,0.65,1,ＴＰ１３１フタナシ,1,1,1.74,100,1,2.635416667,4.801666667,三共鋼業（株）,24,4.054487179,5.371208801,0,0.678641566,95.285,469.4,0,0,0,2.MGケース
170,35145ECE010    ,2023,37,6.691666667,0.216666667,0.191666667,0.65,1,ＴＰ１３１フタナシ,1,1,1.74,100,1,2.602857143,4.745238095,三共鋼業（株）,26,4.004395604,5.146662955,0,0.660633726,90.551,445.7,-0.053066038,-0.012354602,0.083333333,2.MGケース
324,35145ECE010    ,2023,38,5.958333333,0.2,0.183333333,0.65,1,ＴＰ１３１フタナシ,1,1,1.74,100,1,2.62375,4.516666667,三共鋼業（株）,24,4.036538462,4.814555445,0,0.623448652,94.16,430.5,-0.109589041,0.008026894,-0.076923077,2.MGケース
467,35145ECE010    ,2023,39,6.991666667,0.216666667,0.191666667,0.65,1,ＴＰ１３１フタナシ,1,1,1.74,100,1,1.727222222,4.387222222,三共鋼業（株）,18,2.657264957,5.816215896,0,0.67080508,98.06,454.5,0.173426573,-0.341697104,-0.25,2.MGケース
21,35145ECE020    ,2023,36,5.908333333,0.191666667,0.208333333,0.65,1,ＴＰ３３１フタナシ,1,4,6.88,100,2.461538462,2.192692308,4.865384615,（株）浅賀井製作所,26,3.373372781,6.164269042,0.13,0.774976771,95.285,469.4,0,0,0,2.MGケース
171,35145ECE020    ,2023,37,4.825,0.2,0.191666667,0.65,1,ＴＰ３３１フタナシ,1,4,6.88,100,2.384615385,2.313461538,4.62,（株）浅賀井製作所,26,3.559171598,5.301382205,0.13,0.721508036,90.551,445.7,-0.183356841,0.055078056,0,2.MGケース
325,35145ECE020    ,2023,38,5.1,0.183333333,0.183333333,0.65,1,ＴＰ３３１フタナシ,1,4,6.88,100,2.653846154,2.2128,4.54,（株）浅賀井製作所,26,3.404307692,5.702274201,0.13,0.721942532,94.16,430.5,0.056994819,-0.043511222,0,2.MGケース
468,35145ECE020    ,2023,39,6.541666667,0.2,0.2,0.65,1,ＴＰ３３１フタナシ,1,4,6.88,100,2.470588235,1.684705882,4.081176471,（株）浅賀井製作所,17,2.591855204,8.136484668,0.13,0.698833474,98.06,454.5,0.282679739,-0.238654247,-0.346153846,2.MGケース
22,35165ECE010    ,2023,36,6.616666667,0.083333333,0.108333333,0.63,1,ＴＰ１３１フタナシ,1,1,1.21,200,1,4.215,2.341,（株）松尾製作所,10,6.69047619,12.78926449,0,0.433956201,95.285,469.4,0,0,0,2.MGケース
172,35165ECE010    ,2023,37,4.166666667,0.091666667,0.091666667,0.63,1,ＴＰ１３１フタナシ,1,1,1.21,200,1,3.429230769,2.294615385,（株）松尾製作所,13,5.443223443,8.216494778,0,0.392125827,90.551,445.7,-0.370277078,-0.186422119,0.3,2.MGケース
326,35165ECE010    ,2023,38,4.791666667,0.108333333,0.1,0.63,1,ＴＰ１３１フタナシ,1,1,1.21,200,1,3.524615385,2.291538462,（株）松尾製作所,13,5.594627595,9.461656432,0,0.403754533,94.16,430.5,0.15,0.027815164,0,2.MGケース
469,35165ECE010    ,2023,39,4.375,0.083333333,0.091666667,0.63,1,ＴＰ１３１フタナシ,1,1,1.21,200,1,2.538333333,2.050833333,（株）松尾製作所,6,4.029100529,9.652846854,0,0.370567321,98.06,454.5,-0.086956522,-0.279826859,-0.538461538,2.MGケース
